"Abhängigkeit","Abhängigkeit"
"Ablehnung Ablehnungsbescheid","Ablehnung Ablehnungsbescheid"
"abschieben","abschieben"
"Abschiebeverbot","Abschiebeverbot"
"Abschiebung","Abschiebung"
"Akte","Akte"
"Albtraum","Albtraum"
"alleinerziehend","alleinerziehend"
"Amt","Amt"
"Androgynität","Androgynität"
"Anfrage","Anfrage"
"Anhörung","Anhörung"
"Antrag Antrag stellen","Antrag Antrag stellen"
"Antrag auf Eheschließung","Antrag auf Eheschließung"
"Anwaltskosten","Anwaltskosten"
"Anzeige","Anzeige"
"Arbeitserlaubnis","Arbeitserlaubnis"
"Ärztliches Attest","Ärztliches Attest"
"Asexuell","Asexuell"
"Asylverfahren","Asylverfahren"
"Aufenthaltstitel","Aufenthaltstitel"
"Ausbildung","Ausbildung"
"Ausländerbehörde","Ausländerbehörde"
"Aussetzung der Umverteilung","Aussetzung der Umverteilung"
"BAMF","BAMF"
"beantragen","beantragen"
"Bedrohung","Bedrohung"
"beeidigt","beeidigt"
"Beglaubigung","Beglaubigung"
"Begleitung","Begleitung"
"Behandlung (medizinisch und zwischenmenschlich)","Behandlung (medizinisch und zwischenmenschlich)"
"Behinderung","Behinderung"
"Belastung","Belastung"
"Berater*in","Berater*in"
"Beratung","Beratung"
"Beratungsstelle","Beratungsstelle"
"Bescheid","Bescheid"
"Bescheinigung/Zertifikat","Bescheinigung/Zertifikat"
"Bescheinigung ""Zuständigkeit der Ausländerbehörde in Klärung""","Bescheinigung ""Zuständigkeit der Ausländerbehörde in Klärung"""
"Beschwerde/Einspruch","Beschwerde/Einspruch"
"Beschwerden (Krankheit, Unwohlsein)","Beschwerden (Krankheit, Unwohlsein)"
"Bestätigung","Bestätigung"
"Betrag","Betrag"
"Betreff (bei Briefen)","Betreff (bei Briefen)"
"biologischer Vater","biologischer Vater"
"Bisexuell","Bisexuell"
"blauer Pass","blauer Pass"
"Botschaft","Botschaft"
"Bürgschaft","Bürgschaft"
"Cis","Cis"
"Coming-Out","Coming-Out"
"Crossdresser","Crossdresser"
"Diskriminierung","Diskriminierung"
"Dolmetscher*in","Dolmetscher*in"
"Drag King","Drag King"
"Drag Queen","Drag Queen"
"Drittes Geschlecht","Drittes Geschlecht"
"drohen","drohen"
"Dublin-Verfahren","Dublin-Verfahren"
"Duldung (=temporäre Aufenthaltserlaubnis) Duldung (=temporäre Aussetzung der Abschiebung)","Duldung (=temporäre Aufenthaltserlaubnis) Duldung (=temporäre Aussetzung der Abschiebung)"
"Dyke","Dyke"
"ehrenamtlich","ehrenamtlich"
"Eilantrag:","Eilantrag"""
"Ein-/Durchschlafstörungen","Ein-/Durchschlafstörungen"
"Einmalleistungen","Einmalleistungen"
"einreichen (oder reicht ""Antrag stellen""?)","einreichen (oder reicht ""Antrag stellen""?)"
"Entbindung (Geburt)","Entbindung (Geburt)"
"Erkrankung","Erkrankung"
"Erneuerung","Erneuerung"
"Erstaufnahmeeinrichtung","Erstaufnahmeeinrichtung"
"Familienzusammenführung","Familienzusammenführung"
"Fiktionsbescheinigung","Fiktionsbescheinigung"
"Fingerabdrücke","Fingerabdrücke"
"Flashback (aufdrängende Erinnerung)","Flashback (aufdrängende Erinnerung)"
"Fluchtgründe","Fluchtgründe"
"Flüchtlingslager","Flüchtlingslager"
"Flüchtlingsstatus","Flüchtlingsstatus"
"Folter","Folter"
"Frauenhaus","Frauenhaus"
"Freiwilligendienst","Freiwilligendienst"
"Freizügigkeitsgesetz","Freizügigkeitsgesetz"
"Frist","Frist"
"Geburtsdatum","Geburtsdatum"
"Geburtsurkunde","Geburtsurkunde"
"Gehalt","Gehalt"
"gekürzt","gekürzt"
"Genderqueer","Genderqueer"
"Gender (soziales Geschlecht)","Gender (soziales Geschlecht)"
"Genitalbeschneidung","Genitalbeschneidung"
"Gereiztheit","Gereiztheit"
"Gericht","Gericht"
"Geschlecht (anatomisch, biologisch, rechtlich)","Geschlecht (anatomisch, biologisch, rechtlich)"
"Geschlechtsausdruck","Geschlechtsausdruck"
"Geschlechtsidentität","Geschlechtsidentität"
"Geschlechtsneutral","Geschlechtsneutral"
"geschlechtsspezifisch","geschlechtsspezifisch"
"Gesetz","Gesetz"
"Gewalt","Gewalt"
"Gewalt, häusliche","Gewalt, häusliche"
"Gewalt, sexualisierte","Gewalt, sexualisierte"
"Gleichgeschlechtliche Partnerschaft","Gleichgeschlechtliche Partnerschaft"
"Grenzübertrittsbescheinigung","Grenzübertrittsbescheinigung"
"Gutachten","Gutachten"
"Haftbefehl","Haftbefehl"
"häusliche/sexualisierte Gewalt","häusliche/sexualisierte Gewalt"
"Heirat/Hochzeit","Heirat/Hochzeit"
"Herkunftsland","Herkunftsland"
"Hete","Hete"
"Heteronormativ/ Heternormativität","Heteronormativ/ Heternormativität"
"Heterosexuell/ Heterosexuelle*r","Heterosexuell/ Heterosexuelle*r"
"Homophobie/ Homofeindlichkeit","Homophobie/ Homofeindlichkeit"
"Homosexuell/ Homosexuelle*r","Homosexuell/ Homosexuelle*r"
"(im) Schrank","(im) Schrank"
"Inter -geschlechtlichkeit, -sexualität","Inter -geschlechtlichkeit, -sexualität"
"Jugendamt","Jugendamt"
"Kindergarten/Kita","Kindergarten/Kita"
"Kindergeld","Kindergeld"
"Klage einreichen","Klage einreichen"
"Krankenkasse","Krankenkasse"
"laufender Mehrbedarf","laufender Mehrbedarf"
"Lebensunterhalt","Lebensunterhalt"
"Lebensunterhaltssicherung","Lebensunterhaltssicherung"
"Lesbe/lesbisch","Lesbe/lesbisch"
"LSBTI","LSBTI"
"Medikament","Medikament"
"minderjährig","minderjährig"
"MSM","MSM"
"Nachfrage","Nachfrage"
"Nachweis","Nachweis"
"Öffnungszeiten","Öffnungszeiten"
"Outen (jemanden)","Outen (jemanden)"
"Passfoto (auch ""biometrisch""?)","Passfoto (auch ""biometrisch""?)"
"Polizei","Polizei"
"Prozesskostenhilfe/ Kostenübernahme","Prozesskostenhilfe/ Kostenübernahme"
"Prozess","Prozess"
"Prüfung (von Anträgen)","Prüfung (von Anträgen)"
"Psychiater","Psychiater"
"Psychologe","Psychologe"
"Psychopharmaka","Psychopharmaka"
"psycho-sozial","psycho-sozial"
"Queer","Queer"
"Rassismus","Rassismus"
"Rechte und Pflichten","Rechte und Pflichten"
"rechtlicher Vater","rechtlicher Vater"
"Rechtsanwalt*in","Rechtsanwalt*in"
"Regierung","Regierung"
"Registrierung","Registrierung"
"Residenzpflicht/räumliche Beschränkung","Residenzpflicht/räumliche Beschränkung"
"Rezept","Rezept"
"Sachbearbeiter*in","Sachbearbeiter*in"
"Schutzbedürftige(r)","Schutzbedürftige(r)"
"Schutzbedürftigkeit","Schutzbedürftigkeit"
"Schwangerschaft/schwanger","Schwangerschaft/schwanger"
